config,fitness
"[5, 2, 3, 7, 1, 4, 0, 6]",0.167
"[7, 3, 0, 6, 2, 4, 1, 5]",0.167
"[4, 5, 1, 0, 7, 6, 3, 2]",0.167
"[0, 5, 6, 2, 1, 3, 4, 7]",0.167
"[3, 7, 5, 2, 1, 0, 6, 4]",0.167
"[2, 4, 6, 7, 1, 5, 0, 3]",0.167
"[3, 2, 7, 4, 5, 0, 6, 1]",0.167
"[1, 2, 7, 4, 3, 5, 0, 6]",0.167
"[2, 4, 5, 3, 7, 0, 6, 1]",0.167
"[7, 1, 3, 2, 5, 0, 6, 4]",0.167
"[6, 3, 2, 7, 1, 5, 4, 0]",0.167
"[7, 3, 6, 5, 2, 1, 4, 0]",0.167
"[7, 3, 6, 5, 1, 4, 2, 0]",0.167
"[5, 1, 2, 0, 7, 3, 6, 4]",0.167
"[2, 7, 1, 3, 4, 0, 6, 5]",0.167
"[5, 3, 4, 0, 6, 2, 1, 7]",0.167
"[1, 4, 3, 7, 6, 0, 2, 5]",0.167
"[1, 0, 5, 6, 4, 7, 3, 2]",0.167
"[2, 3, 1, 4, 6, 5, 0, 7]",0.167
"[2, 0, 4, 7, 1, 5, 6, 3]",0.167
"[4, 2, 3, 5, 0, 7, 6, 1]",0.167
"[7, 3, 2, 4, 6, 1, 5, 0]",0.167
"[7, 3, 0, 1, 6, 4, 2, 5]",0.167
"[4, 2, 3, 7, 1, 6, 0, 5]",0.167
"[0, 7, 3, 1, 2, 5, 4, 6]",0.167
"[6, 2, 4, 5, 1, 3, 0, 7]",0.167
"[1, 3, 0, 2, 6, 7, 5, 4]",0.167
"[1, 4, 3, 0, 6, 5, 7, 2]",0.167
"[3, 5, 0, 4, 2, 1, 6, 7]",0.167
"[0, 7, 2, 6, 4, 1, 3, 5]",0.167
"[6, 7, 3, 2, 1, 5, 4, 0]",0.167
"[1, 3, 4, 0, 2, 7, 5, 6]",0.167
"[7, 5, 3, 0, 1, 2, 4, 6]",0.167
"[2, 6, 3, 4, 0, 5, 1, 7]",0.167
"[5, 0, 7, 2, 4, 6, 3, 1]",0.167
"[5, 0, 3, 4, 1, 7, 6, 2]",0.167
"[1, 7, 0, 2, 3, 5, 4, 6]",0.167
"[7, 3, 4, 6, 0, 1, 5, 2]",0.167
"[6, 3, 1, 7, 2, 0, 4, 5]",0.167
"[7, 0, 5, 3, 2, 1, 6, 4]",0.167
"[7, 4, 6, 3, 0, 1, 2, 5]",0.167
"[3, 1, 0, 4, 5, 6, 2, 7]",0.167
"[2, 1, 7, 6, 4, 3, 0, 5]",0.167
"[7, 3, 1, 5, 2, 4, 0, 6]",0.167
"[6, 0, 4, 1, 3, 7, 5, 2]",0.167
"[3, 1, 4, 6, 7, 2, 5, 0]",0.167
"[5, 1, 6, 2, 3, 4, 7, 0]",0.167
"[4, 0, 2, 1, 7, 5, 3, 6]",0.167
"[6, 3, 5, 1, 2, 0, 4, 7]",0.167
"[0, 6, 4, 7, 2, 3, 1, 5]",0.167
"[2, 6, 0, 3, 7, 1, 4, 5]",0.167
"[3, 7, 6, 5, 1, 2, 4, 0]",0.167
"[4, 5, 0, 3, 2, 7, 1, 6]",0.167
"[2, 3, 7, 0, 6, 5, 1, 4]",0.167
"[5, 6, 3, 0, 4, 7, 2, 1]",0.167
"[5, 3, 7, 6, 1, 2, 4, 0]",0.167
"[2, 7, 4, 6, 5, 0, 3, 1]",0.167
"[1, 2, 7, 3, 4, 5, 0, 6]",0.167
"[5, 6, 3, 7, 4, 1, 2, 0]",0.167
"[4, 7, 3, 1, 5, 0, 6, 2]",0.167
"[1, 2, 6, 0, 3, 5, 7, 4]",0.167
"[1, 4, 3, 5, 0, 2, 7, 6]",0.167
"[7, 4, 5, 3, 1, 6, 2, 0]",0.167
"[0, 1, 4, 6, 5, 3, 7, 2]",0.167
"[1, 4, 5, 3, 2, 7, 6, 0]",0.167
"[1, 5, 6, 0, 7, 4, 3, 2]",0.167
"[2, 7, 1, 3, 4, 0, 6, 5]",0.167
"[0, 4, 1, 2, 6, 3, 5, 7]",0.167
"[3, 0, 7, 6, 4, 1, 5, 2]",0.167
"[4, 2, 5, 0, 1, 6, 3, 7]",0.167
"[6, 7, 5, 3, 1, 0, 2, 4]",0.167
"[4, 7, 1, 5, 3, 6, 2, 0]",0.167
"[5, 4, 7, 2, 6, 1, 3, 0]",0.167
"[5, 3, 4, 6, 2, 7, 1, 0]",0.167
"[0, 5, 7, 2, 4, 1, 6, 3]",0.167
"[4, 0, 6, 1, 3, 7, 5, 2]",0.167
"[5, 6, 3, 1, 7, 0, 2, 4]",0.167
"[0, 6, 3, 5, 7, 2, 1, 4]",0.167
"[7, 4, 5, 2, 6, 1, 3, 0]",0.167
"[5, 1, 6, 2, 4, 3, 7, 0]",0.167
"[4, 6, 0, 7, 2, 1, 5, 3]",0.167
"[0, 3, 4, 1, 6, 2, 5, 7]",0.167
"[1, 3, 6, 7, 0, 5, 2, 4]",0.167
"[7, 4, 3, 2, 0, 6, 1, 5]",0.167
"[6, 0, 2, 5, 4, 7, 3, 1]",0.167
"[3, 0, 6, 7, 4, 2, 5, 1]",0.167
"[1, 3, 5, 4, 6, 2, 0, 7]",0.167
"[3, 0, 4, 2, 6, 7, 1, 5]",0.167
"[5, 7, 2, 1, 0, 6, 3, 4]",0.167
"[5, 1, 0, 2, 6, 4, 3, 7]",0.167
"[7, 4, 1, 6, 3, 2, 0, 5]",0.167
"[2, 3, 5, 1, 6, 4, 7, 0]",0.167
"[2, 3, 7, 1, 5, 4, 6, 0]",0.167
"[3, 1, 4, 0, 5, 7, 6, 2]",0.167
"[7, 1, 3, 6, 5, 2, 4, 0]",0.167
"[6, 0, 4, 1, 3, 7, 2, 5]",0.167
"[4, 1, 3, 2, 0, 7, 5, 6]",0.167
"[3, 6, 0, 1, 7, 5, 4, 2]",0.167
"[2, 6, 3, 4, 0, 1, 7, 5]",0.167
"[3, 0, 2, 7, 1, 6, 5, 4]",0.167
"[3, 5, 1, 6, 0, 4, 2, 7]",0.167
"[5, 4, 2, 1, 3, 7, 6, 0]",0.167
"[4, 6, 2, 0, 3, 7, 1, 5]",0.167
"[0, 6, 2, 5, 1, 7, 3, 4]",0.167
"[0, 3, 4, 7, 2, 1, 5, 6]",0.167
"[0, 1, 5, 7, 6, 4, 3, 2]",0.167
"[3, 1, 5, 4, 0, 6, 7, 2]",0.167
"[5, 1, 2, 3, 7, 4, 0, 6]",0.167
"[3, 7, 1, 0, 2, 5, 6, 4]",0.167
"[7, 4, 1, 2, 5, 6, 3, 0]",0.167
"[7, 2, 0, 1, 4, 5, 6, 3]",0.167
"[1, 6, 2, 0, 5, 7, 3, 4]",0.167
"[1, 2, 5, 7, 3, 4, 6, 0]",0.167
"[4, 1, 2, 7, 5, 3, 6, 0]",0.167
"[2, 3, 1, 7, 4, 5, 6, 0]",0.167
"[1, 2, 5, 0, 3, 4, 6, 7]",0.167
"[4, 5, 2, 6, 0, 3, 7, 1]",0.167
"[3, 2, 6, 1, 7, 0, 4, 5]",0.167
"[6, 1, 4, 5, 3, 2, 7, 0]",0.167
"[7, 4, 2, 3, 0, 1, 5, 6]",0.167
"[5, 2, 1, 3, 4, 7, 6, 0]",0.167
"[1, 3, 7, 4, 5, 2, 0, 6]",0.167
"[3, 0, 1, 4, 5, 7, 6, 2]",0.167
"[2, 1, 7, 4, 3, 0, 5, 6]",0.167
"[2, 0, 7, 4, 5, 1, 3, 6]",0.167
"[0, 1, 2, 4, 6, 7, 5, 3]",0.167
"[4, 2, 3, 7, 1, 6, 0, 5]",0.167
"[0, 3, 1, 5, 2, 7, 4, 6]",0.167
"[3, 2, 6, 1, 4, 5, 0, 7]",0.167
"[3, 4, 1, 5, 6, 0, 2, 7]",0.167
"[0, 1, 3, 6, 2, 7, 4, 5]",0.167
"[2, 0, 1, 4, 5, 6, 3, 7]",0.167
"[7, 5, 0, 2, 4, 3, 6, 1]",0.167
"[0, 2, 1, 6, 4, 3, 7, 5]",0.167
"[5, 1, 6, 4, 0, 3, 2, 7]",0.167
"[6, 0, 2, 5, 3, 4, 1, 7]",0.167
"[4, 3, 7, 1, 5, 2, 6, 0]",0.167
"[0, 2, 5, 1, 7, 6, 4, 3]",0.167
"[7, 2, 3, 5, 6, 4, 1, 0]",0.167
"[7, 4, 5, 1, 2, 6, 3, 0]",0.167
"[2, 3, 7, 4, 6, 5, 0, 1]",0.167
"[7, 6, 3, 2, 1, 4, 0, 5]",0.167
"[6, 1, 5, 4, 7, 2, 0, 3]",0.167
"[1, 2, 3, 6, 0, 4, 5, 7]",0.167
"[4, 1, 2, 3, 5, 7, 0, 6]",0.167
"[4, 6, 5, 0, 7, 1, 2, 3]",0.167
"[3, 0, 2, 5, 4, 6, 7, 1]",0.167
"[1, 3, 7, 0, 5, 4, 2, 6]",0.167
"[1, 7, 3, 6, 5, 2, 4, 0]",0.167
"[7, 1, 4, 0, 6, 2, 3, 5]",0.167
"[2, 7, 6, 3, 4, 0, 1, 5]",0.167
"[4, 2, 6, 1, 0, 7, 5, 3]",0.167
"[3, 4, 6, 5, 2, 0, 7, 1]",0.167
"[5, 2, 1, 0, 6, 3, 7, 4]",0.167
"[1, 6, 7, 0, 4, 3, 2, 5]",0.167
"[2, 3, 7, 6, 1, 0, 5, 4]",0.167
"[0, 3, 4, 5, 7, 2, 6, 1]",0.167
"[7, 0, 5, 4, 2, 1, 6, 3]",0.167
"[0, 1, 7, 5, 6, 3, 2, 4]",0.167
"[1, 5, 6, 3, 2, 7, 4, 0]",0.167
"[4, 1, 5, 7, 3, 2, 0, 6]",0.167
"[0, 7, 2, 1, 5, 6, 4, 3]",0.167
"[4, 5, 7, 3, 0, 6, 2, 1]",0.167
"[0, 2, 1, 4, 6, 3, 7, 5]",0.167
"[5, 6, 3, 0, 7, 4, 1, 2]",0.167
"[4, 5, 3, 0, 2, 6, 7, 1]",0.167
"[1, 3, 7, 2, 6, 4, 5, 0]",0.167
"[6, 4, 2, 7, 5, 1, 0, 3]",0.167
"[5, 6, 1, 2, 7, 4, 0, 3]",0.167
"[6, 1, 0, 4, 5, 2, 7, 3]",0.167
"[4, 5, 1, 3, 0, 7, 2, 6]",0.167
"[6, 4, 0, 7, 2, 3, 5, 1]",0.167
"[5, 4, 2, 1, 6, 0, 7, 3]",0.167
"[1, 5, 6, 2, 3, 4, 0, 7]",0.167
"[0, 4, 5, 6, 1, 3, 7, 2]",0.167
"[7, 3, 6, 1, 0, 5, 4, 2]",0.167
"[4, 6, 3, 5, 7, 0, 1, 2]",0.167
"[4, 1, 0, 7, 2, 6, 5, 3]",0.167
"[4, 1, 6, 7, 5, 3, 0, 2]",0.167
"[3, 0, 1, 4, 5, 7, 2, 6]",0.167
"[2, 6, 4, 5, 7, 0, 1, 3]",0.167
"[0, 6, 3, 4, 2, 5, 7, 1]",0.167
"[1, 7, 3, 5, 2, 6, 4, 0]",0.167
"[7, 1, 2, 4, 0, 5, 3, 6]",0.167
"[7, 6, 1, 3, 0, 4, 5, 2]",0.167
"[0, 1, 4, 7, 6, 3, 2, 5]",0.167
"[2, 3, 0, 6, 7, 4, 1, 5]",0.167
"[6, 5, 4, 7, 3, 0, 2, 1]",0.167
"[3, 7, 1, 6, 0, 2, 5, 4]",0.167
"[1, 3, 7, 2, 6, 4, 5, 0]",0.167
"[1, 5, 4, 7, 3, 6, 0, 2]",0.167
"[1, 6, 4, 7, 5, 0, 3, 2]",0.167
"[2, 0, 3, 6, 1, 7, 5, 4]",0.167
"[7, 3, 6, 0, 5, 4, 1, 2]",0.167
"[2, 6, 3, 4, 0, 1, 7, 5]",0.167
"[1, 2, 6, 5, 4, 7, 0, 3]",0.167
"[1, 5, 2, 7, 6, 4, 0, 3]",0.167
"[5, 7, 3, 4, 6, 1, 2, 0]",0.167
"[4, 6, 7, 2, 5, 0, 3, 1]",0.167
"[1, 2, 5, 6, 7, 4, 0, 3]",0.167
"[4, 2, 6, 1, 0, 7, 5, 3]",0.167
"[6, 4, 3, 7, 5, 0, 2, 1]",0.167
"[1, 4, 3, 6, 0, 7, 2, 5]",0.167
"[3, 0, 5, 1, 7, 4, 6, 2]",0.167
"[2, 0, 4, 3, 1, 5, 7, 6]",0.167
"[2, 3, 7, 0, 6, 1, 4, 5]",0.167
"[1, 0, 5, 4, 2, 3, 6, 7]",0.167
"[7, 4, 1, 2, 6, 3, 5, 0]",0.167
"[3, 5, 1, 2, 0, 4, 6, 7]",0.167
"[5, 4, 0, 3, 1, 2, 7, 6]",0.167
"[1, 0, 2, 4, 7, 3, 6, 5]",0.167
"[5, 6, 4, 1, 0, 3, 2, 7]",0.167
"[4, 0, 2, 7, 1, 3, 5, 6]",0.167
"[1, 2, 6, 7, 4, 5, 3, 0]",0.167
"[0, 5, 6, 4, 2, 1, 3, 7]",0.167
"[4, 7, 6, 0, 1, 2, 5, 3]",0.167
"[5, 6, 0, 4, 7, 1, 2, 3]",0.167
"[3, 4, 0, 7, 1, 2, 6, 5]",0.167
"[2, 3, 5, 1, 0, 6, 4, 7]",0.167
"[3, 6, 0, 1, 5, 4, 7, 2]",0.167
"[0, 1, 4, 7, 3, 2, 6, 5]",0.167
"[0, 1, 4, 5, 3, 2, 7, 6]",0.167
"[4, 6, 0, 3, 2, 1, 5, 7]",0.167
"[0, 6, 7, 1, 2, 5, 3, 4]",0.167
"[1, 5, 2, 7, 6, 4, 0, 3]",0.167
"[7, 3, 1, 6, 2, 4, 5, 0]",0.167
"[7, 6, 4, 3, 0, 1, 5, 2]",0.167
"[7, 6, 0, 1, 4, 3, 5, 2]",0.167
"[7, 5, 0, 1, 4, 3, 6, 2]",0.167
"[3, 5, 6, 7, 0, 4, 1, 2]",0.167
"[6, 5, 4, 1, 7, 2, 3, 0]",0.167
"[1, 0, 3, 6, 2, 5, 4, 7]",0.167
"[2, 3, 4, 0, 7, 1, 6, 5]",0.167
"[5, 0, 6, 4, 3, 7, 2, 1]",0.167
"[5, 7, 3, 6, 4, 1, 2, 0]",0.167
"[7, 3, 6, 4, 0, 5, 1, 2]",0.167
"[4, 7, 2, 1, 6, 5, 3, 0]",0.167
"[3, 1, 7, 0, 6, 2, 5, 4]",0.167
"[1, 3, 6, 7, 0, 5, 4, 2]",0.167
"[1, 6, 2, 0, 4, 5, 7, 3]",0.167
"[2, 6, 4, 7, 3, 5, 0, 1]",0.167
"[5, 4, 1, 6, 0, 7, 2, 3]",0.167
"[2, 6, 5, 4, 0, 3, 7, 1]",0.167
"[4, 6, 3, 7, 2, 0, 1, 5]",0.167
"[5, 4, 2, 6, 3, 7, 1, 0]",0.167
"[7, 3, 5, 2, 1, 4, 0, 6]",0.167
"[7, 3, 2, 5, 4, 1, 0, 6]",0.167
"[5, 1, 7, 4, 3, 2, 0, 6]",0.167
"[7, 2, 6, 1, 3, 5, 4, 0]",0.167
"[4, 7, 6, 3, 1, 0, 2, 5]",0.167
"[7, 3, 1, 2, 0, 4, 6, 5]",0.167
"[6, 2, 3, 5, 7, 1, 0, 4]",0.167
"[7, 2, 3, 5, 6, 4, 1, 0]",0.167
"[1, 0, 6, 4, 7, 3, 5, 2]",0.167
"[6, 7, 5, 1, 2, 4, 3, 0]",0.167
"[6, 2, 1, 5, 4, 3, 7, 0]",0.167
"[3, 2, 0, 6, 1, 5, 4, 7]",0.167
"[7, 1, 0, 4, 6, 2, 5, 3]",0.167
"[6, 3, 2, 5, 4, 1, 7, 0]",0.167
"[7, 3, 6, 4, 5, 0, 2, 1]",0.167
"[1, 7, 2, 3, 5, 4, 6, 0]",0.167
"[5, 2, 0, 6, 4, 3, 7, 1]",0.167
"[5, 1, 6, 0, 4, 7, 2, 3]",0.167
"[2, 7, 6, 0, 1, 4, 3, 5]",0.167
"[4, 3, 1, 0, 6, 2, 5, 7]",0.167
"[6, 3, 7, 5, 2, 1, 4, 0]",0.167
"[7, 6, 5, 3, 1, 0, 2, 4]",0.167
"[5, 1, 7, 4, 3, 6, 2, 0]",0.167
"[4, 6, 7, 5, 3, 0, 2, 1]",0.167
"[6, 1, 7, 3, 5, 4, 2, 0]",0.167
"[2, 4, 7, 6, 3, 5, 1, 0]",0.167
"[1, 4, 2, 3, 6, 5, 7, 0]",0.167
"[2, 5, 4, 7, 1, 3, 0, 6]",0.167
"[2, 1, 5, 4, 0, 3, 6, 7]",0.167
"[6, 5, 4, 1, 0, 2, 7, 3]",0.167
"[4, 1, 0, 3, 6, 5, 7, 2]",0.167
"[3, 0, 5, 4, 1, 6, 7, 2]",0.167
"[1, 4, 2, 3, 6, 5, 7, 0]",0.167
"[7, 6, 3, 2, 4, 1, 5, 0]",0.167
"[1, 2, 3, 7, 4, 5, 0, 6]",0.167
"[5, 4, 6, 0, 2, 3, 7, 1]",0.167
"[7, 3, 0, 2, 6, 5, 4, 1]",0.167
"[5, 2, 6, 7, 4, 3, 1, 0]",0.167
"[3, 7, 5, 6, 0, 2, 4, 1]",0.167
"[5, 7, 6, 1, 0, 4, 3, 2]",0.167
"[6, 3, 4, 1, 5, 2, 7, 0]",0.167
"[7, 3, 6, 2, 4, 5, 1, 0]",0.167
"[1, 5, 0, 7, 4, 3, 2, 6]",0.167
"[0, 3, 1, 5, 2, 7, 6, 4]",0.167
"[0, 5, 7, 6, 3, 2, 1, 4]",0.167
"[3, 7, 1, 4, 5, 6, 0, 2]",0.167
"[6, 2, 7, 5, 3, 4, 0, 1]",0.167
"[1, 7, 6, 3, 2, 4, 0, 5]",0.167
"[6, 1, 7, 5, 4, 0, 2, 3]",0.167
"[1, 7, 6, 2, 0, 4, 5, 3]",0.167
"[1, 2, 6, 7, 4, 5, 3, 0]",0.167
"[0, 6, 4, 2, 3, 7, 5, 1]",0.167
"[3, 1, 2, 5, 4, 6, 7, 0]",0.167
"[4, 3, 5, 2, 6, 7, 0, 1]",0.167
"[4, 3, 0, 1, 5, 6, 2, 7]",0.167
"[0, 1, 6, 4, 2, 5, 7, 3]",0.167
"[7, 3, 1, 0, 5, 4, 2, 6]",0.167
"[5, 7, 0, 1, 3, 2, 4, 6]",0.167
"[5, 7, 6, 0, 2, 1, 4, 3]",0.167
"[1, 6, 0, 2, 3, 5, 4, 7]",0.167
"[1, 6, 0, 2, 4, 3, 7, 5]",0.167
"[0, 3, 4, 2, 7, 6, 5, 1]",0.167
"[2, 6, 7, 5, 4, 1, 0, 3]",0.167
"[6, 2, 4, 1, 5, 3, 7, 0]",0.167
"[3, 0, 1, 4, 5, 7, 6, 2]",0.167
"[3, 0, 5, 1, 4, 2, 6, 7]",0.167
"[2, 6, 3, 4, 5, 1, 0, 7]",0.167
"[2, 7, 4, 3, 5, 1, 6, 0]",0.167
"[4, 6, 1, 7, 2, 5, 0, 3]",0.167
"[2, 7, 6, 5, 0, 4, 1, 3]",0.167
"[7, 6, 2, 5, 1, 4, 3, 0]",0.167
"[0, 4, 1, 6, 7, 2, 3, 5]",0.167
"[7, 3, 0, 5, 4, 2, 1, 6]",0.167
"[7, 3, 5, 1, 0, 4, 6, 2]",0.167
"[3, 5, 6, 1, 7, 2, 0, 4]",0.167
"[4, 0, 5, 6, 1, 7, 3, 2]",0.167
"[3, 2, 6, 0, 1, 4, 5, 7]",0.167
"[4, 1, 6, 3, 5, 0, 7, 2]",0.167
"[6, 0, 1, 5, 3, 2, 7, 4]",0.167
"[4, 0, 2, 5, 1, 3, 6, 7]",0.167
"[2, 7, 0, 3, 1, 6, 5, 4]",0.167
"[6, 2, 0, 7, 3, 1, 4, 5]",0.167
"[4, 5, 0, 1, 3, 2, 6, 7]",0.167
"[1, 6, 2, 3, 4, 7, 0, 5]",0.167
"[5, 2, 3, 1, 4, 6, 0, 7]",0.167
"[7, 5, 0, 6, 2, 3, 1, 4]",0.167
"[7, 6, 2, 0, 1, 3, 4, 5]",0.167
"[3, 5, 1, 4, 2, 0, 7, 6]",0.167
"[3, 7, 4, 0, 5, 6, 2, 1]",0.167
"[7, 6, 4, 0, 5, 1, 2, 3]",0.167
"[6, 0, 3, 7, 2, 5, 4, 1]",0.167
"[5, 6, 4, 2, 1, 3, 7, 0]",0.167
"[4, 1, 5, 3, 0, 7, 6, 2]",0.167
"[6, 3, 4, 7, 5, 1, 2, 0]",0.167
"[1, 2, 6, 3, 4, 0, 7, 5]",0.167
"[4, 6, 2, 1, 5, 0, 3, 7]",0.167
"[7, 4, 6, 2, 0, 3, 5, 1]",0.167
"[1, 2, 7, 3, 4, 6, 5, 0]",0.167
"[5, 0, 7, 2, 6, 1, 3, 4]",0.167
"[5, 3, 0, 1, 4, 2, 6, 7]",0.167
"[1, 7, 6, 4, 3, 0, 2, 5]",0.167
"[2, 1, 3, 5, 0, 4, 7, 6]",0.167
"[7, 0, 6, 2, 5, 3, 4, 1]",0.167
"[3, 1, 2, 5, 4, 6, 7, 0]",0.167
"[1, 4, 3, 5, 2, 6, 0, 7]",0.167
"[5, 3, 4, 2, 6, 1, 7, 0]",0.167
"[5, 6, 4, 0, 1, 7, 2, 3]",0.167
"[6, 7, 1, 3, 5, 4, 2, 0]",0.167
"[2, 5, 6, 7, 1, 4, 3, 0]",0.167
"[7, 4, 2, 1, 0, 3, 5, 6]",0.167
"[0, 2, 7, 5, 6, 1, 4, 3]",0.167
"[1, 6, 4, 0, 2, 7, 3, 5]",0.167
"[3, 4, 7, 2, 5, 1, 0, 6]",0.167
"[1, 4, 5, 7, 6, 2, 0, 3]",0.167
"[0, 6, 1, 7, 5, 2, 3, 4]",0.167
"[2, 0, 3, 4, 7, 1, 5, 6]",0.167
"[1, 3, 4, 2, 6, 0, 7, 5]",0.167
"[5, 3, 1, 2, 0, 6, 7, 4]",0.167
"[3, 5, 4, 1, 2, 0, 6, 7]",0.167
"[7, 6, 2, 0, 1, 3, 5, 4]",0.167
"[1, 7, 6, 0, 2, 5, 4, 3]",0.167
"[0, 2, 3, 6, 7, 1, 5, 4]",0.167
"[3, 4, 1, 7, 6, 2, 5, 0]",0.167
"[0, 6, 2, 5, 1, 4, 3, 7]",0.167
"[0, 6, 3, 7, 5, 2, 1, 4]",0.167
"[7, 2, 5, 3, 6, 1, 4, 0]",0.167
"[1, 3, 2, 7, 0, 4, 6, 5]",0.167
"[5, 6, 4, 1, 2, 7, 3, 0]",0.167
"[3, 0, 7, 6, 5, 1, 2, 4]",0.167
"[3, 2, 7, 4, 5, 0, 6, 1]",0.167
"[4, 3, 6, 5, 1, 2, 0, 7]",0.167
"[6, 7, 3, 0, 4, 2, 5, 1]",0.167
"[0, 2, 7, 1, 5, 4, 6, 3]",0.167
"[2, 4, 5, 1, 6, 7, 3, 0]",0.167
"[7, 6, 2, 3, 5, 0, 1, 4]",0.167
"[0, 7, 1, 6, 2, 5, 4, 3]",0.167
"[4, 5, 2, 6, 0, 7, 3, 1]",0.167
"[7, 2, 5, 1, 0, 3, 4, 6]",0.167
"[5, 6, 0, 1, 7, 4, 3, 2]",0.167
"[0, 1, 3, 7, 4, 6, 2, 5]",0.167
"[7, 6, 1, 5, 3, 0, 4, 2]",0.167
"[2, 3, 4, 6, 7, 5, 1, 0]",0.167
"[7, 4, 0, 3, 2, 5, 6, 1]",0.167
"[6, 1, 0, 4, 5, 7, 3, 2]",0.167
"[7, 4, 0, 3, 2, 5, 6, 1]",0.167
"[7, 4, 6, 2, 1, 3, 0, 5]",0.167
"[6, 7, 4, 1, 0, 2, 3, 5]",0.167
"[4, 3, 7, 1, 2, 5, 6, 0]",0.167
"[4, 1, 3, 2, 5, 6, 0, 7]",0.167
"[3, 7, 6, 4, 2, 5, 0, 1]",0.167
"[1, 2, 6, 0, 3, 5, 7, 4]",0.167
"[2, 0, 3, 4, 7, 1, 5, 6]",0.167
"[5, 4, 6, 7, 3, 1, 2, 0]",0.167
"[4, 2, 1, 3, 5, 0, 6, 7]",0.167
"[1, 2, 6, 5, 0, 3, 4, 7]",0.167
"[3, 0, 5, 1, 7, 4, 6, 2]",0.167
"[1, 7, 4, 6, 0, 5, 2, 3]",0.167
"[6, 7, 3, 2, 4, 5, 1, 0]",0.167
"[1, 6, 2, 7, 4, 5, 3, 0]",0.167
"[0, 5, 2, 7, 4, 1, 3, 6]",0.167
"[3, 4, 2, 1, 7, 5, 0, 6]",0.167
"[1, 2, 0, 7, 4, 6, 5, 3]",0.167
"[1, 2, 7, 5, 6, 3, 4, 0]",0.167
"[4, 7, 6, 3, 2, 1, 5, 0]",0.167
"[6, 2, 5, 3, 4, 7, 1, 0]",0.167
"[2, 1, 3, 4, 5, 7, 0, 6]",0.167
"[7, 4, 5, 3, 2, 0, 6, 1]",0.167
"[1, 2, 7, 3, 6, 5, 4, 0]",0.167
"[3, 1, 4, 0, 7, 2, 6, 5]",0.167
"[4, 1, 0, 3, 6, 5, 7, 2]",0.167
"[3, 5, 1, 0, 6, 7, 2, 4]",0.167
"[2, 5, 3, 1, 7, 6, 0, 4]",0.167
"[6, 0, 5, 2, 7, 4, 1, 3]",0.167
"[0, 3, 2, 6, 1, 7, 4, 5]",0.167
"[3, 5, 0, 6, 2, 1, 7, 4]",0.167
"[3, 5, 1, 2, 6, 4, 0, 7]",0.167
"[1, 4, 3, 7, 5, 2, 6, 0]",0.167
"[5, 0, 1, 4, 7, 2, 3, 6]",0.167
"[1, 2, 5, 0, 6, 4, 7, 3]",0.167
"[2, 4, 6, 5, 1, 7, 0, 3]",0.167
"[6, 1, 0, 5, 2, 4, 3, 7]",0.167
"[4, 7, 2, 3, 1, 5, 0, 6]",0.167
"[5, 4, 3, 7, 2, 6, 1, 0]",0.167
"[6, 2, 4, 1, 5, 3, 0, 7]",0.167
"[5, 2, 7, 4, 6, 1, 0, 3]",0.167
"[4, 2, 6, 5, 0, 3, 1, 7]",0.167
"[3, 1, 5, 6, 2, 7, 4, 0]",0.167
"[1, 3, 5, 7, 6, 0, 4, 2]",0.167
"[1, 3, 5, 2, 0, 6, 7, 4]",0.167
"[7, 6, 0, 1, 5, 3, 2, 4]",0.167
"[5, 0, 3, 4, 2, 6, 1, 7]",0.167
"[0, 5, 2, 1, 3, 6, 4, 7]",0.167
"[3, 7, 4, 6, 5, 2, 0, 1]",0.167
"[4, 2, 0, 7, 1, 5, 6, 3]",0.167
"[1, 5, 4, 0, 2, 6, 3, 7]",0.167
"[4, 7, 3, 0, 1, 2, 5, 6]",0.167
"[0, 5, 2, 1, 7, 6, 4, 3]",0.167
"[6, 1, 4, 5, 0, 7, 3, 2]",0.167
"[5, 6, 4, 1, 3, 2, 0, 7]",0.167
"[4, 1, 7, 2, 3, 6, 5, 0]",0.167
"[5, 3, 1, 4, 6, 2, 7, 0]",0.167
"[0, 3, 6, 4, 5, 2, 1, 7]",0.167
"[2, 5, 7, 4, 3, 1, 0, 6]",0.167
"[6, 2, 3, 4, 1, 7, 5, 0]",0.167
"[0, 2, 3, 5, 7, 6, 4, 1]",0.167
"[4, 1, 0, 2, 6, 5, 3, 7]",0.167
"[7, 3, 6, 1, 0, 5, 2, 4]",0.167
"[3, 2, 0, 7, 1, 5, 4, 6]",0.167
"[5, 2, 3, 6, 0, 4, 7, 1]",0.167
"[2, 7, 1, 3, 4, 0, 6, 5]",0.167
"[0, 5, 4, 6, 3, 2, 1, 7]",0.167
"[3, 5, 1, 2, 0, 4, 6, 7]",0.167
"[3, 7, 1, 0, 6, 4, 2, 5]",0.167
"[5, 2, 0, 1, 3, 6, 7, 4]",0.167
"[3, 5, 2, 4, 0, 1, 7, 6]",0.167
"[5, 2, 1, 0, 7, 3, 4, 6]",0.167
"[0, 7, 5, 4, 6, 2, 3, 1]",0.167
"[4, 3, 6, 1, 7, 2, 0, 5]",0.167
"[2, 4, 1, 0, 3, 5, 6, 7]",0.167
"[2, 3, 6, 7, 1, 5, 4, 0]",0.167
"[0, 7, 1, 4, 5, 3, 2, 6]",0.167
